issue,name,status,period,company,portfolio
"壹期基金","磐霖东方股权投资基金","","2010年至2016年","高能环境、瑞翔材料、东方时尚、骏梦游戏等","节能环保:62,教育培训:20,新能源/新材料:8,文化传媒:10"
"贰期基金","磐霖平安股权投资基金","","2010年至2015年","东方时尚、八达园林、凯普生物、康泰生物等","培训教育:17,医疗健康:48,城市园林绿化:34"
"叁期基金","磐霖盛泰股权投资基金","","2011年至2016年","康泰生物、爱德牛业、德勤集团、盛世骄阳、骏梦游戏等","医疗健康:49,现代农业:11,航运/现代物流:18,文化传媒:23"
"肆期基金","磐霖丹阳股权投资基金","","2012年至2017年","华杉环保、康泰生物、德易东方、华夏滤园、赛安生物等","医疗健康:77,节能环保:23"
"伍期基金","磐霖仟源股权投资基金","","2015年至2020年","投资组合尚在进行中",""
"陆期基金","磐霖滨海医疗健康股权投资基金","building","",""
"柒期基金","磐霖高能环保产业基金","building","",""
